lat,lon,radiance
8.0,72.0,0.472
8.0,72.863158,0.305
8.0,73.726316,0.697
8.0,74.589474,1.592
8.0,75.452632,5.168
8.0,76.315789,8.387
8.0,77.178947,3.962
8.0,78.042105,1.95
8.0,78.905263,1.574
8.0,79.768421,1.144
8.0,80.631579,0.723
8.0,81.494737,0.699
8.0,82.357895,0.557
8.0,83.221053,0.582
8.0,84.084211,0.796
8.0,84.947368,0.438
8.0,85.810526,0.235
8.0,86.673684,0.354
8.0,87.536842,0.568
8.0,88.4,0.42
8.768421,72.0,0.727
8.768421,72.863158,0.483
8.768421,73.726316,1.4
8.768421,74.589474,6.07
8.768421,75.452632,13.207
8.768421,76.315789,14.924
8.768421,77.178947,15.576
8.768421,78.042105,3.038
8.768421,78.905263,4.226
8.768421,79.768421,3.648
8.768421,80.631579,1.34
8.768421,81.494737,0.357
8.768421,82.357895,0.819
8.768421,83.221053,0.653
8.768421,84.084211,0.474
8.768421,84.947368,0.436
8.768421,85.810526,0.833
8.768421,86.673684,0.154
8.768421,87.536842,0.658
8.768421,88.4,0.702
9.536842,72.0,0.528
9.536842,72.863158,0.83
9.536842,73.726316,2.949
9.536842,74.589474,9.691
9.536842,75.452632,18.49
9.536842,76.315789,13.741
9.536842,77.178947,27.255
9.536842,78.042105,6.579
9.536842,78.905263,6.454
9.536842,79.768421,8.764
9.536842,80.631579,4.983
9.536842,81.494737,1.952
9.536842,82.357895,0.497
9.536842,83.221053,0.478
9.536842,84.084211,0.371
9.536842,84.947368,0.594
9.536842,85.810526,0.603
9.536842,86.673684,0.496
9.536842,87.536842,0.486
9.536842,88.4,0.574
10.305263,72.0,0.431
10.305263,72.863158,0.742
10.305263,73.726316,1.914
10.305263,74.589474,5.943
10.305263,75.452632,13.804
10.305263,76.315789,36.431
10.305263,77.178947,25.649
10.305263,78.042105,12.607
10.305263,78.905263,19.332
10.305263,79.768421,16.136
10.305263,80.631579,5.162
10.305263,81.494737,4.517
10.305263,82.357895,0.55
10.305263,83.221053,0.598
10.305263,84.084211,0.594
10.305263,84.947368,0.44
10.305263,85.810526,0.69
10.305263,86.673684,0.745
10.305263,87.536842,0.479
10.305263,88.4,0.526
11.073684,72.0,0.624
11.073684,72.863158,1.038
11.073684,73.726316,2.119
11.073684,74.589474,3.69
11.073684,75.452632,8.005
11.073684,76.315789,16.76
11.073684,77.178947,12.291
11.073684,78.042105,24.661
11.073684,78.905263,15.801
11.073684,79.768421,26.614
11.073684,80.631579,12.869
11.073684,81.494737,4.731
11.073684,82.357895,1.391
11.073684,83.221053,0.75
11.073684,84.084211,0.648
11.073684,84.947368,0.593
11.073684,85.810526,0.234
11.073684,86.673684,0.409
11.073684,87.536842,0.519
11.073684,88.4,0.406
11.842105,72.0,0.492
11.842105,72.863158,0.6
11.842105,73.726316,1.041
11.842105,74.589474,1.65
11.842105,75.452632,3.905
11.842105,76.315789,11.826
11.842105,77.178947,6.396
11.842105,78.042105,2.542
11.842105,78.905263,24.368
11.842105,79.768421,33.657
11.842105,80.631579,23.213
11.842105,81.494737,7.783
11.842105,82.357895,4.486
11.842105,83.221053,0.912
11.842105,84.084211,0.439
11.842105,84.947368,0.64
11.842105,85.810526,0.568
11.842105,86.673684,0.547
11.842105,87.536842,0.483
11.842105,88.4,0.645
12.610526,72.0,0.535
12.610526,72.863158,0.986
12.610526,73.726316,0.945
12.610526,74.589474,1.385
12.610526,75.452632,2.549
12.610526,76.315789,1.738
12.610526,77.178947,4.49
12.610526,78.042105,9.448
12.610526,78.905263,18.13
12.610526,79.768421,38.425
12.610526,80.631579,39.663
12.610526,81.494737,19.106
12.610526,82.357895,8.168
12.610526,83.221053,1.641
12.610526,84.084211,0.703
12.610526,84.947368,0.709
12.610526,85.810526,0.39
12.610526,86.673684,0.631
12.610526,87.536842,0.422
12.610526,88.4,0.243
13.378947,72.0,0.865
13.378947,72.863158,4.571
13.378947,73.726316,3.335
13.378947,74.589474,3.653
13.378947,75.452632,1.213
13.378947,76.315789,1.399
13.378947,77.178947,1.919
13.378947,78.042105,4.417
13.378947,78.905263,24.983
13.378947,79.768421,31.362
13.378947,80.631579,5.954
13.378947,81.494737,23.521
13.378947,82.357895,4.178
13.378947,83.221053,1.604
13.378947,84.084211,0.608
13.378947,84.947368,0.552
13.378947,85.810526,0.511
13.378947,86.673684,0.457
13.378947,87.536842,0.471
13.378947,88.4,0.364
14.147368,72.0,5.309
14.147368,72.863158,7.387
14.147368,73.726316,18.356
14.147368,74.589474,12.742
14.147368,75.452632,4.192
14.147368,76.315789,1.16
14.147368,77.178947,1.198
14.147368,78.042105,4.008
14.147368,78.905263,10.454
14.147368,79.768421,22.164
14.147368,80.631579,24.417
14.147368,81.494737,7.92
14.147368,82.357895,3.422
14.147368,83.221053,1.116
14.147368,84.084211,0.891
14.147368,84.947368,0.625
14.147368,85.810526,0.669
14.147368,86.673684,0.711
14.147368,87.536842,0.481
14.147368,88.4,0.276
14.915789,72.0,4.775
14.915789,72.863158,18.62
14.915789,73.726316,21.702
14.915789,74.589474,20.512
14.915789,75.452632,8.593
14.915789,76.315789,1.418
14.915789,77.178947,0.741
14.915789,78.042105,1.191
14.915789,78.905263,5.701
14.915789,79.768421,9.226
14.915789,80.631579,10.832
14.915789,81.494737,4.588
14.915789,82.357895,3.091
14.915789,83.221053,2.248
14.915789,84.084211,0.894
14.915789,84.947368,1.282
14.915789,85.810526,0.503
14.915789,86.673684,0.725
14.915789,87.536842,0.342
14.915789,88.4,0.316
15.684211,72.0,10.929
15.684211,72.863158,27.276
15.684211,73.726316,23.981
15.684211,74.589474,35.938
15.684211,75.452632,8.511
15.684211,76.315789,1.91
15.684211,77.178947,1.045
15.684211,78.042105,0.558
15.684211,78.905263,1.418
15.684211,79.768421,1.981
15.684211,80.631579,2.051
15.684211,81.494737,3.389
15.684211,82.357895,4.145
15.684211,83.221053,6.824
15.684211,84.084211,5.474
15.684211,84.947368,1.845
15.684211,85.810526,0.63
15.684211,86.673684,0.738
15.684211,87.536842,0.417
15.684211,88.4,0.762
16.452632,72.0,4.972
16.452632,72.863158,15.107
16.452632,73.726316,28.693
16.452632,74.589474,9.65
16.452632,75.452632,7.49
16.452632,76.315789,2.027
16.452632,77.178947,0.844
16.452632,78.042105,0.354
16.452632,78.905263,0.564
16.452632,79.768421,1.299
16.452632,80.631579,1.656
16.452632,81.494737,2.913
16.452632,82.357895,12.707
16.452632,83.221053,13.472
16.452632,84.084211,13.172
16.452632,84.947368,1.626
16.452632,85.810526,0.923
16.452632,86.673684,0.693
16.452632,87.536842,0.7
16.452632,88.4,0.566
17.221053,72.0,8.156
17.221053,72.863158,10.919
17.221053,73.726316,16.207
17.221053,74.589474,9.851
17.221053,75.452632,3.346
17.221053,76.315789,1.301
17.221053,77.178947,0.651
17.221053,78.042105,0.717
17.221053,78.905263,0.662
17.221053,79.768421,0.799
17.221053,80.631579,1.98
17.221053,81.494737,12.516
17.221053,82.357895,14.286
17.221053,83.221053,24.73
17.221053,84.084211,19.014
17.221053,84.947368,6.033
17.221053,85.810526,1.122
17.221053,86.673684,0.615
17.221053,87.536842,0.421
17.221053,88.4,0.507
17.989474,72.0,21.052
17.989474,72.863158,42.406
17.989474,73.726316,24.987
17.989474,74.589474,18.524
17.989474,75.452632,2.99
17.989474,76.315789,1.267
17.989474,77.178947,0.574
17.989474,78.042105,0.348
17.989474,78.905263,0.25
17.989474,79.768421,0.686
17.989474,80.631579,2.128
17.989474,81.494737,9.995
17.989474,82.357895,10.442
17.989474,83.221053,17.387
17.989474,84.084211,17.453
17.989474,84.947368,8.534
17.989474,85.810526,3.333
17.989474,86.673684,1.018
17.989474,87.536842,0.315
17.989474,88.4,0.459
18.757895,72.0,23.843
18.757895,72.863158,20.059
18.757895,73.726316,63.502
18.757895,74.589474,18.02
18.757895,75.452632,4.453
18.757895,76.315789,0.976
18.757895,77.178947,0.698
18.757895,78.042105,0.497
18.757895,78.905263,0.413
18.757895,79.768421,0.581
18.757895,80.631579,0.968
18.757895,81.494737,3.662
18.757895,82.357895,0.12
18.757895,83.221053,14.004
18.757895,84.084211,14.327
18.757895,84.947368,7.045
18.757895,85.810526,1.615
18.757895,86.673684,0.478
18.757895,87.536842,0.505
18.757895,88.4,0.597
19.526316,72.0,30.41
19.526316,72.863158,46.503
19.526316,73.726316,29.529
19.526316,74.589474,15.807
19.526316,75.452632,3.243
19.526316,76.315789,0.667
19.526316,77.178947,0.583
19.526316,78.042105,0.202
19.526316,78.905263,0.624
19.526316,79.768421,0.396
19.526316,80.631579,1.159
19.526316,81.494737,2.638
19.526316,82.357895,4.909
19.526316,83.221053,3.709
19.526316,84.084211,3.802
19.526316,84.947368,1.721
19.526316,85.810526,0.554
19.526316,86.673684,1.176
19.526316,87.536842,0.354
19.526316,88.4,1.712
20.294737,72.0,17.283
20.294737,72.863158,29.446
20.294737,73.726316,16.148
20.294737,74.589474,14.03
20.294737,75.452632,3.336
20.294737,76.315789,0.697
20.294737,77.178947,0.534
20.294737,78.042105,0.546
20.294737,78.905263,0.378
20.294737,79.768421,0.332
20.294737,80.631579,0.344
20.294737,81.494737,0.578
20.294737,82.357895,0.679
20.294737,83.221053,1.442
20.294737,84.084211,1.456
20.294737,84.947368,0.835
20.294737,85.810526,1.126
20.294737,86.673684,2.126
20.294737,87.536842,4.054
20.294737,88.4,3.88
21.063158,72.0,9.307
21.063158,72.863158,8.567
21.063158,73.726316,8.397
21.063158,74.589474,2.477
21.063158,75.452632,1.362
21.063158,76.315789,0.397
21.063158,77.178947,0.572
21.063158,78.042105,0.626
21.063158,78.905263,0.64
21.063158,79.768421,0.586
21.063158,80.631579,0.324
21.063158,81.494737,0.791
21.063158,82.357895,0.914
21.063158,83.221053,0.859
21.063158,84.084211,0.846
21.063158,84.947368,0.908
21.063158,85.810526,0.849
21.063158,86.673684,4.527
21.063158,87.536842,3.603
21.063158,88.4,11.461
21.831579,72.0,2.349
21.831579,72.863158,1.675
21.831579,73.726316,2.559
21.831579,74.589474,1.268
